category,group,enrollment,year
Race/Ethnicity,All Students,741,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,384,2025
Race/Ethnicity,Hispanic,127,2025
Race/Ethnicity,White,146,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,66,2025
Gender,All Students,741,2025
Gender,Male,382,2025
Gender,Female,359,2025
Grade,All Students,741,2025
Grade,Pre-Kindergarten,120,2025
Grade,Kindergarten,228,2025
Grade,Grade 1,196,2025
Grade,Grade 2,197,2025
Grade,Elementary,393,2025
