category,group,enrollment,year
Race/Ethnicity,All Students,329,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,20,2025
Race/Ethnicity,Hispanic,53,2025
Race/Ethnicity,White,225,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,24,2025
Gender,All Students,329,2025
Gender,Male,163,2025
Gender,Female,166,2025
Grade,All Students,329,2025
Grade,Pre-Kindergarten,57,2025
Grade,Kindergarten,55,2025
Grade,Grade 1,56,2025
Grade,Grade 2,50,2025
Grade,Grade 3,50,2025
Grade,Grade 4,61,2025
Grade,Elementary,217,2025
