category,group,enrollment,year
Race/Ethnicity,All Students,472,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,*,2025
Race/Ethnicity,Hispanic,34,2025
Race/Ethnicity,White,392,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,34,2025
Gender,All Students,472,2025
Gender,Male,229,2025
Gender,Female,243,2025
Grade,All Students,472,2025
Grade,Pre-Kindergarten,36,2025
Grade,Kindergarten,77,2025
Grade,Grade 1,69,2025
Grade,Grade 2,77,2025
Grade,Grade 3,73,2025
Grade,Grade 4,69,2025
Grade,Grade 5,71,2025
Grade,Elementary,359,2025
