category,group,enrollment,year
Race/Ethnicity,All Students,346,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,23,2025
Race/Ethnicity,Hispanic,17,2025
Race/Ethnicity,White,283,2025
Race/Ethnicity,2+,22,2025
Gender,All Students,346,2025
Gender,Male,185,2025
Gender,Female,161,2025
Grade,All Students,346,2025
Grade,Pre-Kindergarten,25,2025
Grade,Kindergarten,58,2025
Grade,Grade 1,49,2025
Grade,Grade 2,47,2025
Grade,Grade 3,63,2025
Grade,Grade 4,58,2025
Grade,Grade 5,46,2025
Grade,Elementary,263,2025
