category,group,enrollment,year
Race/Ethnicity,All Students,483,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,183,2025
Race/Ethnicity,Hispanic,160,2025
Race/Ethnicity,White,97,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,38,2025
Gender,All Students,483,2025
Gender,Male,242,2025
Gender,Female,241,2025
Grade,All Students,483,2025
Grade,Pre-Kindergarten,90,2025
Grade,Kindergarten,60,2025
Grade,Grade 1,81,2025
Grade,Grade 2,63,2025
Grade,Grade 3,67,2025
Grade,Grade 4,64,2025
Grade,Grade 5,58,2025
Grade,Elementary,333,2025
