category,group,enrollment,year
Race/Ethnicity,All Students,494,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,351,2025
Race/Ethnicity,Hispanic,97,2025
Race/Ethnicity,White,21,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,20,2025
Gender,All Students,494,2025
Gender,Male,248,2025
Gender,Female,246,2025
Grade,All Students,494,2025
Grade,Pre-Kindergarten,64,2025
Grade,Kindergarten,72,2025
Grade,Grade 1,70,2025
Grade,Grade 2,69,2025
Grade,Grade 3,74,2025
Grade,Grade 4,76,2025
Grade,Grade 5,69,2025
Grade,Elementary,358,2025
