category,group,enrollment,year
Race/Ethnicity,All Students,726,2025
Race/Ethnicity,Asian,36,2025
Race/Ethnicity,African Am.,461,2025
Race/Ethnicity,Hispanic,111,2025
Race/Ethnicity,White,38,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,78,2025
Gender,All Students,726,2025
Gender,Male,382,2025
Gender,Female,344,2025
Grade,All Students,726,2025
Grade,Pre-Kindergarten,60,2025
Grade,Kindergarten,96,2025
Grade,Grade 1,112,2025
Grade,Grade 2,93,2025
Grade,Grade 3,123,2025
Grade,Grade 4,105,2025
Grade,Grade 5,137,2025
Grade,Elementary,570,2025
