category,group,enrollment,year
Race/Ethnicity,All Students,344,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,109,2025
Race/Ethnicity,Hispanic,60,2025
Race/Ethnicity,White,132,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,37,2025
Gender,All Students,344,2025
Gender,Male,181,2025
Gender,Female,163,2025
Grade,All Students,344,2025
Grade,Pre-Kindergarten,24,2025
Grade,Kindergarten,42,2025
Grade,Grade 1,52,2025
Grade,Grade 2,55,2025
Grade,Grade 3,47,2025
Grade,Grade 4,60,2025
Grade,Grade 5,64,2025
Grade,Elementary,278,2025
