category,group,enrollment,year
Race/Ethnicity,All Students,497,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,325,2025
Race/Ethnicity,Hispanic,113,2025
Race/Ethnicity,White,15,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,37,2025
Gender,All Students,497,2025
Gender,Male,261,2025
Gender,Female,236,2025
Grade,All Students,497,2025
Grade,Pre-Kindergarten,65,2025
Grade,Kindergarten,56,2025
Grade,Grade 1,67,2025
Grade,Grade 2,91,2025
Grade,Grade 3,71,2025
Grade,Grade 4,80,2025
Grade,Grade 5,67,2025
Grade,Elementary,376,2025
