category,group,enrollment,year
Race/Ethnicity,All Students,332,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,44,2025
Race/Ethnicity,Hispanic,33,2025
Race/Ethnicity,White,234,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,16,2025
Gender,All Students,332,2025
Gender,Male,163,2025
Gender,Female,169,2025
Grade,All Students,332,2025
Grade,Pre-Kindergarten,44,2025
Grade,Kindergarten,40,2025
Grade,Grade 1,44,2025
Grade,Grade 2,47,2025
Grade,Grade 3,59,2025
Grade,Grade 4,47,2025
Grade,Grade 5,51,2025
Grade,Elementary,248,2025
