category,group,enrollment,year
Race/Ethnicity,All Students,362,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,16,2025
Race/Ethnicity,Hispanic,39,2025
Race/Ethnicity,White,284,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,18,2025
Gender,All Students,362,2025
Gender,Male,167,2025
Gender,Female,195,2025
Grade,All Students,362,2025
Grade,Pre-Kindergarten,34,2025
Grade,Kindergarten,39,2025
Grade,Grade 1,68,2025
Grade,Grade 2,45,2025
Grade,Grade 3,56,2025
Grade,Grade 4,57,2025
Grade,Grade 5,63,2025
Grade,Elementary,289,2025
