category,group,enrollment,year
Race/Ethnicity,All Students,319,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,15,2025
Race/Ethnicity,Hispanic,29,2025
Race/Ethnicity,White,260,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,11,2025
Gender,All Students,319,2025
Gender,Male,161,2025
Gender,Female,158,2025
Grade,All Students,319,2025
Grade,Pre-Kindergarten,37,2025
Grade,Kindergarten,42,2025
Grade,Grade 1,55,2025
Grade,Grade 2,39,2025
Grade,Grade 3,50,2025
Grade,Grade 4,47,2025
Grade,Grade 5,49,2025
Grade,Elementary,240,2025
