category,group,enrollment,year
Race/Ethnicity,All Students,749,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,169,2025
Race/Ethnicity,Hispanic,206,2025
Race/Ethnicity,White,265,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,97,2025
Gender,All Students,749,2025
Gender,Male,361,2025
Gender,Female,388,2025
Grade,All Students,749,2025
Grade,Pre-Kindergarten,71,2025
Grade,Kindergarten,109,2025
Grade,Grade 1,108,2025
Grade,Grade 2,107,2025
Grade,Grade 3,128,2025
Grade,Grade 4,107,2025
Grade,Grade 5,119,2025
Grade,Elementary,569,2025
